date,flooded,rolling_mean
2016-01-05,34.77686218477747,
2016-01-17,39.97172428697388,
2016-01-29,33.22305408605721,
2016-02-10,35.32428964928674,
2016-02-22,37.27574682461938,36.11433540634293
2016-03-05,33.26441280916618,35.81184553122067
2016-03-17,29.70789671877206,33.7590800175803
2016-03-29,22.83932975776817,31.6823351519225
2016-04-10,23.762108662267952,29.36989895451875
2016-04-22,22.977018769954345,26.510153343585745
2016-05-04,25.912959838426453,25.0398627494378
2016-05-16,35.120312827976406,26.12234597127867
2016-05-28,41.94451214496631,29.943382448718296
2016-06-09,30.435638907311464,31.278088497726998
2016-07-03,37.158967265488045,34.11447819683373
2016-07-15,37.223105805466076,36.376507390241656
2016-07-27,44.004718439534344,38.15338851255325
2016-08-08,35.47197470515667,36.85888102459133
2016-08-20,39.72020047907589,38.71579333894421
2016-09-01,38.380470461518655,38.960093978150326
2016-09-13,45.11133850116506,40.53774051729012
2016-09-25,34.324621646418855,38.60172115866702
2016-10-01,29.278701594634914,37.36306653656267
2016-10-07,31.012794772279577,35.62158539520341
2016-10-13,30.541689266966344,34.053829156292956
2016-10-19,28.617231019948576,30.75500766004966
2016-10-25,32.863797996213414,30.46284293000857
2016-10-31,37.42221445800013,32.09154550268161
2016-11-06,36.09712667651449,33.108411883528596
2016-11-12,38.458229944116994,34.69172001895872
2016-11-18,39.37705869774907,36.84368555451882
2016-11-30,43.28288993952695,38.927503943181534
2016-12-06,43.03654709368881,40.050370470319265
2016-12-12,45.023509082922054,41.83564695160078
2016-12-18,43.400319154656565,42.82406479370869
2016-12-24,40.32682631640031,43.01401831743894
2016-12-30,37.469479574485085,41.85133624443057
2017-01-05,39.676086941293484,41.179244213951506
2017-01-11,37.6920366479405,39.71294972695519
2017-01-17,36.31571448924396,38.29602879387267
2017-01-23,35.70771905172671,37.37220734093795
2017-01-29,34.789756607413864,36.836262747523705
2017-02-04,43.054894542716596,37.51202426780833
2017-02-10,34.29231923885081,36.832080785990385
2017-02-22,36.43726758620452,36.856391405382496
2017-02-28,35.94504490925773,36.9038565768887
2017-03-12,31.909428399909896,36.32779093538791
2017-03-13,26.905374508717543,33.097886928588096
2017-03-24,31.461702728129744,32.53176362644389
2017-03-25,28.938038182920167,31.03191774578702
2017-03-30,37.61244125928742,31.36539701579296
2017-04-05,44.616072666912764,33.90672586919354
2017-04-06,31.08443401986003,34.74253777142203
2017-04-11,37.262444036679796,35.90268603313204
2017-04-17,31.797114286487137,36.47450125384543
2017-04-18,25.608229764115464,34.07365895481104
2017-04-23,36.381155743005294,32.426675570029545
2017-04-29,41.14776691715918,34.43934214948938
2017-04-30,32.38377924071765,33.46360919029694
2017-05-05,43.27799390432827,35.75978511386517
2017-05-11,45.235313111129265,39.685201783267935
2017-05-12,34.25571631203037,39.26011389707295
2017-05-17,39.54880216130323,38.94032094590176
2017-05-23,43.292422408385065,41.12204957943524
2017-05-24,39.894213990399514,40.44529359664949
2017-05-29,39.19642226180751,39.237515426785144
2017-06-04,39.67721149627568,40.3218144636342
2017-06-05,36.5689980791352,39.725853647200594
2017-06-10,39.37312965261991,38.94199509604757
2017-06-16,38.33185996841284,38.62952429165024
2017-06-17,32.47610551923664,37.28546094313606
2017-06-22,40.07082066901758,37.364182777684434
2017-06-28,39.867845469140356,38.02395225568547
2017-06-29,37.35161078268071,37.61964848169763
2017-07-04,39.21554129660868,37.7963847473368
2017-07-10,44.63276943717716,40.227717530924906
2017-07-11,37.97435086095396,39.80842356931218
2017-07-16,36.54637759971249,39.14412999542661
2017-07-22,37.09465695591833,39.092739230074145
2017-07-23,36.97854310189916,38.64533959113224
2017-07-28,33.13447470671375,36.34568064503956
2017-08-03,43.42941893554118,37.436694259957
2017-08-04,40.80634602553187,38.28868794512088
2017-08-09,40.366733971742136,38.94310334828563
2017-08-15,43.60854508520579,40.26910374494696
2017-08-16,38.93094062444422,41.42839692849306
2017-08-21,37.32973542257919,40.20846022590065
2017-08-27,40.541082249790506,40.15540747075238
2017-08-28,37.191422742783324,39.520345224960614
2017-09-02,37.71418158219492,38.34147252435844
2017-09-08,39.545375900995325,38.46435957966866
2017-09-09,35.27819837451872,38.05405217005657
2017-09-14,33.18983270536626,36.58380226117172
2017-09-20,35.68541478257026,36.28260066912911
2017-09-21,33.34158338873436,35.408081030436996
2017-09-26,29.182831730877258,33.33557219641339
2017-10-02,32.4145919099342,32.76285090349648
2017-10-03,27.477973785029825,31.620479119429195
2017-10-08,28.883112499922348,30.260018662899608
2017-10-14,29.60329331627361,29.51236064840746
2017-10-15,25.818545790608493,28.8395034603537
2017-10-20,29.70006083038235,28.29659724444333
2017-10-26,31.024345027914883,29.00587149302034
2017-10-27,27.699512144423334,28.769151421920537
2017-11-01,31.88957028491963,29.22640681564974
2017-11-07,38.01838496171347,31.66637464987074
2017-11-08,32.6248556601875,32.25133361583177
2017-11-13,37.38579200884119,33.52362301201704
2017-11-19,44.734571010722306,36.93063478527684
2017-11-20,32.858628103302664,37.12444634895344
2017-11-25,36.00007615029826,36.7207845866704
2017-12-01,38.47247490579615,37.89030843579212
2017-12-02,34.029929118973016,37.21913585781849
2017-12-07,37.11424266703794,35.69507018908162
2017-12-13,40.7822729970942,37.279799167839926
2017-12-14,36.58755387006632,37.39729471179354
2017-12-19,30.893865214282645,35.88157277349084
2017-12-25,46.36316197991492,38.34821934567922
2017-12-26,34.61206660776983,37.8477841338256
2017-12-31,31.043212585555423,35.89997205151784
2018-01-06,36.482526625100114,35.8789666025246
2018-01-07,29.136123412380993,35.527418242144265
